409613	294808
450747	269383
413642	177840
G41495	249912
5126A4	181207
496670	252477
445988	204633
507859	261628
48564A1	187162
451096	246263
504868	165072
468671	304032
476890	242595
506546	229613
514886	248015
46558A1	189588
57300A1	181227
414051	249677
434444	289442
410609	220574
65183A2	247366
11135A1	174725
471978	283237
454847	172261
14460A4	190660
G42490	204401
434409	238938
514706	196960
420391	304053
444086	235842
439234	244163
416988	256281
475941	300027
617A2	241557
455542	236957
478511	221503
472251	229080
426779	182400
8734A4	204959
472657	263049
471646	188266
470112	200646
D104849	275919
497944	276451
43793A2	194735
50847A2	290995
449467	282608
509195	213187
G13667	234204
54870A4	204250
497396	238183
4862A1	215546
461277	204737
508886	237969
506976	277643
37423A1	219654
453165	171253
D127822	240933
D94014	286206
512617	243239
53413A2	190139
420392	257631
489593	197898
473826	161945
505480	256249
G13987	249130
477782	182852
489044	282290
458060	151299
442021	259260
418258	269964
507445	164936
401369	179228
473149	226319
410133	260396
442154	294568
449109	166594
48709A3	304094
55592A1	187430
54972A1	231663
453065	152185
460135	297798
65238A2	168817
403814	205854
452131	198158
54838A1	257723
464464	201135
427506	296126
428873	232531
D209127	221902
501326	237634
434670	178908
426350	250992
498582	265846
60997A1	229370
G77826	297187
22642A2	260927
509371	292756
433398	229624
418477	237241
430276	156754
9792A1	195473
505059	250476
511700	219965
52231A3	159194
475352	293032
461427	223985
499223	235563
464257	175202
475578	205486
461989	285572
491576	184626
454287	170163
486569	229751
8999A5	157151
514703	276092
D1003429	220616
36417A7	240974
409972	204452
20871A2	294950
470318	196127
511556	261945
430507	231545
50358A2	181517
444653	250962
503517	255567
447280	233803
512630	230510
14801A1	251266
11197A1	289645
484091	194527
426435	161458
25583A1	255802
24922A1	242440
453596	188481
437113	268022
501036	219917
444091	299602
512332	195706
438093	158807
410733	256059
52857A2	265258
446413	216103
420872	273624
410772	218222
62184A3	196846
420936	252993
507714	197146
491614	185338
413960	287562
438308	298264
32237A5	223643
67458A2	211158
435304	261869
449552	225389
443735	212153
39398A2	233728
419065	160409
515078	224592
487228	269994
39719A3	188604
448912	220498
9700A3	184149
509281	209177
26298A2	289402
458969	156048
483692	237093
480741	243553
50531A3	204917
473387	225568
449512	220549
504889	230656
64326A3	195000
411905	215690
455238	178004
48674A2	251342
406A2	154701
415119	253341
67415A1	244466
503808	194048
G13648	264628
56012A1	186435
455294	258248
456679	211093
417198	211593
65689A2	260444
492772	267050
469997	297716
17729A2	301065
414873	173631
486166	259383
483670	154968
483040	152207
28835A2	174328
504259	250154
470578	294318
G41804	216479
473909	192679
487700	279976
D1008066	155369
492938	227021
450209	222811
65794A5	220073
500639	229862
514987	239493
451004	253780
507816	177495
4A3	240906
